ncbilabel,classlabel,queryclasslabel,ingredientlabel,restriction_ex,any_taxon,fooditem
Cocos nucifera,coconut food product,coconut oil,coconut oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_13894,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#10coconut_oil
Cocos nucifera,coconut food product,coconut oil,coconut oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_13894,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#13coconut_oil
Avena sativa,oat food product,oat fibre,oat fiber,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4498,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#15oat_fiber
Avena sativa,oat food product,oat fibre,oat fiber,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4498,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5oat_fiber
Avena sativa,oat food product,oat fibre,oat fiber,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4498,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#9oat_fiber
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#0sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#11sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#12sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#13sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#15sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#17sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#18sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#1sunflower_oil
Helianthus annuus,sunflower food product,sunflower seed oil,sunflower oil,derive from,http://purl.obolibrary.org/obo/NCBITaxon_4232,https://data.rivm.nl/data/nvip/bigfood/leda/ingcode#5sunflower_oil
